Course Name,Average GPA
AAS100,3.535190466888064
AAS105,3.6959649122807017
AAS120,3.254548148148148
AAS200,3.5071999999999997
AAS211,3.3338461538461535
AAS215,3.4082462686567165
AAS246,3.7715172413793097
AAS258,3.755257731958763
AAS287,3.8286055776892427
AAS315,3.3696428571428565
AAS365,3.2012068965517235
AAS370,3.0344827586206895
ABE100,3.6289799635701274
ABE141,3.3903783783783785
ABE152,3.6988787878787877
ABE199,3.966571428571429
ABE221,3.56
ABE222,3.1357291666666662
ABE223,3.488973880597015
ABE224,3.632487644151565
ABE225,3.205714285714286
ABE226,3.2548600508905854
ABE232,3.6439215686274506
ABE341,3.0852830188679246
ABE361,3.156808510638298
ABE425,3.7373250000000002
ABE430,3.63391881342701
ABE436,3.3216666666666668
ABE446,3.6986363636363633
ABE456,3.821627906976744
ABE457,3.7179166666666665
ABE466,3.3025624999999996
ABE469,3.6249886621315195
ABE483,3.5833333333333335
ABE488,3.4652906976744178
ABE498,3.784578947368421
ABE501,3.871136363636364
ABE598,3.8135999999999997
ACCY200,3.2229205289828204
ACCY201,3.094687897077509
ACCY202,3.2420920543596865
ACCY301,3.330608063450099
ACCY302,3.3585818120351587
ACCY303,3.3368036199095017
ACCY304,3.364779369627507
ACCY312,3.2994691814116277
ACCY398,3.9102622498274666
ACCY405,3.3893450517698045
ACCY410,3.323887137452711
ACCY415,3.2715972222222227
ACCY432,3.6977272727272723
ACCY451,3.357315175097276
ACCY500,3.691495426504999
ACCY501,3.462649523259174
ACCY502,3.496853681861651
ACCY503,3.579375566431032
ACCY504,3.5416223493773145
ACCY505,3.594078766180116
ACCY506,3.4816717791411045
ACCY507,3.682490221642764
ACCY510,3.493251553810926
ACCY511,3.522526712759271
ACCY512,3.7522710120068608
ACCY515,3.439185814185814
ACCY516,3.4867567567567566
ACCY517,3.5939588419951174
ACCY518,3.9685872576177283
ACCY531,3.849068322981367
ACCY532,3.897240259740261
ACCY550,3.6513999999999993
ACCY551,3.383631669535284
ACCY552,3.421671270718232
ACCY553,3.5528647214854105
ACCY554,3.5463876651982384
ACCY555,3.5075159235668796
ACCY556,3.5796349413298563
ACCY557,3.602314814814815
ACCY558,3.7651874999999997
ACCY559,3.646813559322034
ACCY560,3.8127494908350306
ACCY561,3.4844444444444447
ACCY562,3.3731999999999998
ACCY563,3.5558333333333336
ACCY564,3.584583333333333
ACCY569,3.508031496062992
ACCY570,3.8299301919720765
ACCY571,3.632739726027398
ACCY574,3.8994339622641507
ACCY575,3.800456365092074
ACCY576,3.7642358078602625
ACCY577,3.7801025641025645
ACCY578,3.8613385826771656
ACCY593,3.7172119815668205
ACE100,2.8539876579488688
ACE161,3.5342865216162753
ACE199,3.7197684839432417
ACE203,3.640792079207921
ACE210,3.203337378640777
ACE222,3.2467631806395847
ACE231,3.4134004127966975
ACE232,3.1102038834951458
ACE240,3.4929885714285716
ACE251,3.2789227642276426
ACE254,3.0438512035010947
ACE255,3.7122384428223847
ACE261,2.960721412125863
ACE262,3.0286981132075472
ACE264,3.06554367201426
ACE270,2.9778051511758123
ACE300,3.1204602510460258
ACE306,3.2638257575757574
ACE310,3.303069230769231
ACE332,3.4528571428571433
ACE335,3.6507547169811323
ACE341,3.648078291814946
ACE344,3.914285714285714
ACE345,3.5271174377224206
ACE346,3.457173637515843
ACE349,3.2862857142857145
ACE360,3.4257231588287493
ACE398,3.6447065337763007
ACE403,3.3122727272727275
ACE406,2.8599796334012226
ACE410,3.2897826086956523
ACE411,3.355334476843911
ACE427,3.1491390728476825
ACE428,3.181308703819662
ACE430,3.030272727272727
ACE431,3.327648351648351
ACE432,3.6594776119402983
ACE435,3.4432695374800635
ACE440,3.3390600522193217
ACE444,3.2477557755775575
ACE445,3.4353988868274583
ACE446,3.039980392156863
ACE447,3.6338306451612907
ACE448,3.2320103092783503
ACE449,3.20877245508982
ACE451,3.1569152542372882
ACE454,2.8566007905138338
ACE455,3.3000890585241733
ACE456,3.317582417582418
ACE471,3.3513333333333333
ACE474,2.9731464737793853
ACE476,3.0844778254649494
ACE499,3.2966666666666664
ACE562,3.737819148936171
ACE563,3.727727272727273
ACE564,3.7296590909090908
ACE592,3.4290909090909087
ACES101,3.764968152866243
ACES102,3.669702127659575
ACES179,3.0740609951845905
ACES199,3.3683402489626553
ACES409,3.102692307692308
ACES501,3.9038709677419354
ADV150,3.569079405251503
ADV175,3.3225945945945945
ADV199,3.7358333333333333
ADV200,3.3658823529411763
ADV270,3.451240740740741
ADV281,2.9478247734138976
ADV283,3.753832935560859
ADV284,3.5696794871794872
ADV290,3.561247357293869
ADV300,3.3585467301428213
ADV301,3.428105263157894
ADV305,3.713507692307692
ADV310,3.2092405566600397
ADV311,3.372735632183908
ADV312,2.844538653366584
ADV314,3.3477659574468093
ADV320,3.42448854961832
ADV350,3.643662790697674
ADV370,3.268331515812432
ADV390,3.1149734171097148
ADV393,3.615741758241758
ADV400,3.6831612903225808
ADV409,3.7717866004962786
ADV410,3.6685421686746986
ADV411,3.695948275862069
ADV412,2.982734225621415
ADV450,3.0796544502617804
ADV460,3.5184014300306434
ADV461,3.636190476190476
ADV475,2.9805714285714284
ADV476,3.5660714285714277
ADV478,3.2827272727272723
ADV481,3.0224418604651166
ADV483,3.3443109404990405
ADV490,3.627563805104409
ADV491,3.461970149253731
ADV492,3.7395833333333326
ADV493,3.55579268292683
ADV494,3.569005235602094
ADV498,3.814675767918089
ADV550,3.5072
ADV580,3.772763157894737
ADV581,3.4285714285714284
ADV582,3.8227906976744186
ADV587,3.668333333333333
